traffic_scenario,load_name,best_method_by_reward,best_reward_per_request,energy_aware_reward_per_request,delta_reward_vs_energy_aware,best_accepted_mean,energy_aware_accepted_mean,delta_accepted_vs_energy_aware
uniform,low,XLRON Counterfactual Ranker,0.7857231999094189,0.774237013235559,0.01148618667385981,646.4,636.8,9.600000000000023
uniform,medium,GNN-CNN Full DQN Ranker,0.6912916799347003,0.6794319465950529,0.011859733339647405,577.6,568.8,8.800000000000068
uniform,high,LightGBM-override ranker,0.5523991999592085,0.543423999946316,0.008975200012892537,481.4,474.6,6.7999999999999545
uniform,overload,LightGBM-override ranker,0.4685524266289572,0.4638329599602321,0.004719466668725081,421.4,417.6,3.7999999999999545
hotspot,low,Calibrated DQN-Override baseline ranker,0.7843092265874148,0.7650264532340765,0.01928277335333828,638.0,623.8,14.200000000000045
hotspot,medium,Calibrated DQN-Override baseline ranker,0.6879806399418711,0.6631546132641534,0.024826026677717716,569.6,552.0,17.600000000000023
hotspot,high,Calibrated DQN-Override baseline ranker,0.5774607999619346,0.5743321599491338,0.0031286400128007763,492.4,489.8,2.599999999999966
hotspot,overload,XLRON Counterfactual Ranker,0.46687519996080795,0.4557248532989422,0.011150346661865762,415.4,407.4,8.0
nonuniform,low,Calibrated DQN-Override baseline ranker,0.7092933332613607,0.6863101332221826,0.022983200039178087,596.6,580.2,16.399999999999977
nonuniform,medium,Calibrated DQN-Override baseline ranker,0.6028041599416236,0.5840437332641284,0.018760426677495223,519.6,506.4,13.200000000000045
nonuniform,high,XLRON Counterfactual Ranker,0.481935733280609,0.4742542399492561,0.007681493331352929,434.0,428.4,5.600000000000023
nonuniform,overload,GNN-CNN Full DQN Ranker,0.3862311999589304,0.37243109329353763,0.013800106665392775,367.2,357.6,9.599999999999966
bursty,low,A3C Policy Distilled from Full DQN,0.7535443732371528,0.744942453225245,0.008601920011907849,623.6,616.8,6.800000000000068
bursty,medium,XLRON Counterfactual Ranker,0.6686615465954839,0.6538780799188315,0.014783466676652424,562.6,552.2,10.399999999999977
bursty,high,LightGBM-override ranker,0.5558163199566801,0.5463760532765786,0.009440266680101561,483.2,476.0,7.199999999999989
bursty,overload,GNN-CNN Full DQN Ranker,0.4560651732903917,0.45068362662015354,0.005381546670238158,412.8,409.0,3.8000000000000114
